Name,Picture,Base Rarity,Main Type,2nd Type,Growth Type,Max HP,Max ATK,Max DEF,Passive 1,Passive 2,Divine Protection,Protection Skill,Trait 1,Trait 2
Benimaru [Mystic General],https://images-ext-2.discordapp.net/external/bYHYtOpHbCnmF7IWQr_2A9rSp8ZIIOw-_YK_bN0Xd3w/%3F16645029420997%3F16645029420997/https/ten-sura-m-assets-us.akamaized.net/web-assets/images/78fdc8256717ddd7a7b5bb0ac4171b82.png?width=1440&height=994,5☆,Earth,Magic,Atk,3073,1271,1436,Earth Magic Device +200%,Symbol of Protection +100%,"Spell Master Lv.MAX
Increases Earth ATK by 12％. Increases M-ATK by 10％
Spell Master (Support) Lv.MAX
Increases Earth ATK and M-ATK by 5％","Breath of Terra Lv.1
Increases all allies' counterattack rate by 80％ (Turns: 2) Increases Soul of Skills' skill point increase by 250％ (Turns: 3) Decreases the skill cost by 20 for vanguard allies (Cannot go below each skill's initial cost)","HP - DEF UP (5★ Awaken x1)
When 3 vanguard have 75% or more HP, increases all allies' DEF by 6% at start of turn (available in support formation)","HP - DEF UP (5★ Awaken x3)
When 3 vanguard have 75% or more HP, increases all allies' DEF by 9% at start of turn (available in support formation)"
Guy Crimson [Elegant Crimson Emperor],https://images-ext-1.discordapp.net/external/SLficx3PdNVZMeKzLKlNez0EhbgrE8_hq_2TajMeGrI/%3F16618247499157%3F16618247499157/https/ten-sura-m-assets-us.akamaized.net/web-assets/images/c0b0e7e89255a226508b71c5971a615c.png?width=1440&height=994,5☆,Space,Physical,Atk,3061,1396,1244,Space Magic Device +200%,Symbol of Protection +100%,"Joyous Banquet Lv.MAX
Increases space ATK by 12％. Increases P-ATK by 10％
Joyous Banquet (Support) Lv.MAX
Increases space ATK and P-ATK by 5％","Strange Stage Lv.1
Changes Soul of Protection and Soul of Secrets x3 each into Soul of Skills Decreases all targets' all-target attack damage resistance by 10％ (Turns: 2) Increases all allies' Secret Skill Gauge by 35％","HP - DEF DOWN (5★ Awaken x1)
When 1 or more vanguard have 70% or lower HP, decreases all targets' DEF by 6% at start of turn (available in support formation)","HP - DEF DOWN (5★ Awaken x3)
When 1 or more vanguard have 70% or lower HP, decreases all targets' DEF by 9% at start of turn (available in support formation)"
Milim Nava [Summer High],https://images-ext-2.discordapp.net/external/tOpBCfcyx7L-siYNXrDWu-hwE3EnAvQW7tEk3a3E8sA/%3F16590594166186%3F16590594166186/https/ten-sura-m-assets-us.akamaized.net/web-assets/images/0e2d28fdb8ce5965e310e131a77c0b24.png?width=1440&height=994,5☆,Water,Magic,Atk,3054,1382,1243,Water Magic Device +200%,Symbol of Protection +100%,"Wild Summer Break Lv.MAX
Increases water ATK by 12％. Increases M-ATK by 10％
Wild Summer Break (Support) Lv.MAX
Increases water ATK and M-ATK by 5％","Drago Summertime Lv.1
Increases all allies' water ATK until the end of battle by 5％ (Unlimited) Increases Soul of Divine Protection skill point increase until the end of battle by 100％ (Max: 500%) Increases skill cost limit until the end of battle by 40 (Max: 999)","HP - Critical Resistance DOWN (5★ Awaken x1)
When 3 vanguard have 75% or more HP, decreases all targets' critical resistance by 6% at start of turn (available in support formation)","HP - Critical Resistance DOWN (5★ Awaken x3)
When 3 vanguard have 75% or more HP, decreases all targets' critical resistance by 9% at start of turn (available in support formation)"
Gabiru [The Badlands Dragonewt],https://images-ext-2.discordapp.net/external/tC1VLfSHevTAPrcH0fJxqa5GEKfT15ma6I5K4lURo2w/%3F16565541228112%3F16565541228112/https/ten-sura-m-assets-us.akamaized.net/web-assets/images/2397131b4db6b0d8ea72777bbc9cfaa4.png?width=1440&height=994,5☆,Wind,Magic,Atk,3055,1363,1312,Wind Magic Device +200%,Symbol of Protection +100%,"Scare 'Em Good Lv.MAX
Increases wind ATK by 12％. Increases M-ATK by 10％
Scare 'Em Good (Support) Lv.MAX
Increases wind ATK and M-ATK by 5％","Thriller Night Lv.1
Changes Soul of Skills into Soul of Divine ProtectionIncreases the M-ATK of the ally with the highest ATK by 15％ (Turns: 1) Increases skill points by 15","HP - Critical Resistance DOWN (5★ Awaken x1)
When 3 vanguard have 75% or more HP, decreases all targets' critical resistance by 6% at start of turn (available in support formation)","HP - Critical Resistance DOWN (5★ Awaken x3)
When 3 vanguard have 75% or more HP, decreases all targets' critical resistance by 9% at start of turn (available in support formation)"
Milim Nava [Bellicose Dragoneye],https://i.imgur.com/OQ6kcVD.png,5☆,https://i.imgur.com/NchScWh.png,https://i.imgur.com/z8bnSYg.png,https://i.imgur.com/P4N7gFs.png,3585,1164,1471,Water Magic Device +200%,Space Magic Device +100%,"Eternal Dragon Empress Lv.MAX:
Increases all allies' water ATK at start of battle by 16%. Increases all allies' space ATK at start of battle by 8%.","Drago Changer Lv.1/Lv.10:
Increases all allies' guard rate by 60%/80% (Turns: 3). Increases Soul of Divine Protection damage until the end of battle by 20% (Max: 100%).","HP - Critical Resistance (5☆ Awaken x1):
When 3 vanguard have 50% or more HP, increases all allies' critical resistance by 10% at start of turn.","HP - Critical Resistance (5☆ Awaken x3):
When 3 vanguard have 50% or more HP, increases all allies' critical resistance by 15% at start of turn."
Elemental Colossus [Golem],https://i.imgur.com/6AmIGRh.png,5☆,https://i.imgur.com/AHPti72.png,https://i.imgur.com/NchScWh.png,https://i.imgur.com/P4N7gFs.png,3579,1165,1469,Earth Magic Device +200%,Water Magic Device +100%,"Spirit Engineering Crystal Lv.MAX:
Increases all allies' earth ATK at start of battle by 16%. Increases all allies' water ATK at start of battle by 8%.","Limit Break Lv.1/Lv.10:
Increases all allies' guard rate by 60%/80% (Turns: 3). Increases all allies' counterattack rate by 60% (Turns: 2).","HP - Pierce Resistance (5☆ Awaken x1):
When 3 vanguard have 50% or more HP, increases all allies' pierce resistance by 10% at the start of turn.","HP - Pierce Resistance (5☆ Awaken x3):
When 3 vanguard have 50% or more HP, increases all allies' pierce resistance by 15% at the start of turn."
Shuna [The Faithful Housemaid],https://i.imgur.com/0sVXae5.png,5☆,https://i.imgur.com/pQYVkI3.png,https://i.imgur.com/NchScWh.png,https://i.imgur.com/P4N7gFs.png,3581,1171,1446,Wind Magic Device +200%,Water Magic Device +100%,"Training of the Maid Lv.MAX:
Increases all allies' wind ATK at start of battle by 16%. Increases all allies' water ATK at start of battle by 8%.","Yuletide Sparkle Lv.1/Lv.10:
Increases all allies' guard rate by 60%/80% (Turns: 3). Increases all Soul of Skills gauges' increase by 50% (Turns: 3).","Combo - Pierce Resistance DOWN 2 (5☆ Awaken x1):
When the enemy makes a combo attack, increases all allies' pierce resistance by 10% at the start of the next turn.","Combo - Pierce Resistance DOWN 2 (5☆ Awaken x3):
When the enemy makes a combo attack, increases all allies' pierce resistance by 15% at the start of the next turn."
Veldora Tempest [The Mighty Roar],https://i.imgur.com/NxON4Pq.png,5☆,https://i.imgur.com/z8bnSYg.png,https://i.imgur.com/pzX6NRL.png,https://i.imgur.com/MLuLYZy.png,3084,1368,1289,Space Magic Device +200%,Dark Magic Device +100%,"Supreme Flight Lv.MAX:
Increases all allies' space ATK at start of battle by 16％. Increases all allies' dark ATK at start of battle by 8％.","Tempest Blaster Lv.1/Lv.10:
Increases all allies' space ATK until the end of battle by 5％/10% (Unlimited). Increases all souls' skill point increase until the end of battle by 50％ (Max: 250%). Increases skill cost limit until the end of battle by 40 (Max: 999).","HP - ATK UP (5☆ Awaken x1):
When 1 or more enemies have 50% or lower HP, increases all allies' ATK by 4% at start of turn.","HP - ATK UP (5☆ Awaken x3):
When 1 or more enemies have 50% or lower HP, increases all allies' ATK by 6% at start of turn."
Shizue Izawa [Dream Bride],https://i.imgur.com/cmcJR2T.png,5☆,https://i.imgur.com/hX15sR0.png,https://i.imgur.com/EWYVugy.png,https://i.imgur.com/MLuLYZy.png,3065,1350,1317,Light Magic Device +200%,Symbol of Protection +100%,"Ceremonial Light Lv.MAX:
Increases light ATK by 12％. Increases P-ATK by 5%/10％","Rain Ends Lv.1/Lv.10:
Changes Soul of Protection and Soul of Secrets x3 each into Soul of SkillsIncreases all allies' pierce rate by 50％/70% (Turns: 2). Effect increases by 5％ each time allies use battle skills from the start of battle to the end of Turn 3. Increases Soul of Combos damage by 10％ (Turns: 2).","HP - Pierce Resistance DOWN (5☆ Awaken x1):
When 3 vanguard have 75% or more HP, decreases all targets' pierce resistance by 6% at start of turn.","HP - Pierce Resistance DOWN (5☆ Awaken x3):
When 3 vanguard have 75% or more HP, decreases all targets' pierce resistance by 9% at start of turn."
Veldora Tempest [Storm Dragon],https://i.imgur.com/tge1oxf.png,5☆,https://i.imgur.com/pQYVkI3.png,https://i.imgur.com/pzX6NRL.png,https://i.imgur.com/MLuLYZy.png,3062,1316,1316,Wind Magic Device +200%,Dark Magic Device +100%,"Ambition of the Four True Dragons Lv.MAX:
Increases all allies' wind ATK at start of battle by 16%. Increases all allies' dark ATK at start of battle by 8%.","Tempest Shout Lv.1/Lv.10:
Increases skill cost limit until the end of battle by 20/30 (Max: 999). Increases Soul of Combos damage by 10% (Max: 50%). Increases skill points by 30.","HP - Critical Rate UP (5☆ Awaken x1):
When 3 vanguard have 50% or lower HP, increases all allies' critical rate by 8% at start of turn.","HP - Critical Rate UP (5☆ Awaken x3):
When 3 vanguard have 50% or lower HP, increases all allies' critical rate by 12% at start of turn."
